LD1,LD2,Class,SampleId
-4.700244008506271,1.9791383470464559,1,0
-4.301958109390891,1.1704128584841837,1,1
-3.420719519929979,1.4291013882226484,1,2
-4.2057536641398725,4.002871483450439,1,3
-1.5099816767285366,0.45122389818769926,1,4
-4.518689341055186,3.213137562777067,1,5
-4.52737794330599,3.2691217912511115,1,6
-4.148347810825575,3.1041176529261434,1,7
-3.860828761572694,1.9533826291204732,1,8
-3.3666244446203897,1.678643268990183,1,9
-4.805879067411838,2.2353627137254475,1,10
-3.4280764581115792,2.1751093932746604,1,11
-3.6661024584838433,2.2624896065440443,1,12
-5.588246349303709,2.054787732045999,1,13
-5.501314488366544,3.6130486523636587,1,14
-3.1847518929455823,2.8895252843532506,1,15
-3.289369883671369,2.7658426597432433,1,16
-2.998092617279583,1.4251113222091523,1,17
-5.246403717600696,3.7098265525921343,1,18
-3.1365310649546707,1.976899221711179,1,19
-3.577477910104203,0.5624599046252606,1,20
-1.690771346137734,0.9134213628356268,1,21
-4.835150326063505,0.9147628011970904,1,22
-3.0958896050434626,0.6173588844335006,1,23
-3.3216471633199434,0.2984773444737518,1,24
-2.1448222254893796,0.1636924671472987,1,25
-3.9824284979566222,2.1751567948432196,1,26
-2.6859143150114257,1.2185092379457432,1,27
-3.563094636414845,1.038176510789257,1,28
-3.173015732330995,1.3778962445635934,1,29
-2.996267968354552,1.3241989606462958,1,30
-3.5686624444246697,2.340654778721509,1,31
-3.385063831812299,0.20123425982882928,1,32
-3.52753750373268,1.7159273889409887,1,33
-2.8519085165789577,1.4707077126681085,1,34
-2.794119959372562,0.23793093003101073,1,35
-2.758085110192895,1.5697042084392212,1,36
-2.177344772289112,1.0103645533524224,1,37
-3.029263824403046,-0.2350958280680374,1,38
-3.271052282769352,2.60404590278156,1,39
-2.9206553279711964,0.2552334287367874,1,40
-2.2372106205727595,0.9194611639570037,1,41
-4.699725682958166,2.5607533924101533,1,42
-1.2303613325699299,0.42259515051997143,1,43
-2.5820390406563134,-0.3502919477152606,1,44
-2.5831204917986845,2.8768657233711767,1,45
-3.888878893039409,2.051604078476491,1,46
-3.4497535616869266,0.951839171350666,1,47
-2.342233314692645,1.4325894990980814,1,48
-3.5206259598711753,2.08155356473248,1,49
-3.218409120802124,0.8791286960779696,1,50
-4.382148964925033,2.1647157277003592,1,51
-4.3631172713469475,2.2718292846052712,1,52
-3.5191729277544264,3.007373725383153,1,53
-3.122774752142251,1.5935666945729807,1,54
-1.8024053953210322,1.3300615571660386,1,55
-2.873787538084908,1.7298994247654849,1,56
-3.616905179739486,2.2911575286789625,1,57
-3.738685508455018,2.4601180287794913,1,58
1.586187491997981,-2.423844156395623,2,59
0.7996721574038554,-1.3940646059422384,2,60
2.3801544558547882,-1.4518865852256453,2,61
-0.45917725812412624,-1.1904536488886752,2,62
-0.5072688503830762,-3.166624034189538,2,63
0.3939835860764624,-2.779841704172166,2,64
-0.9225661578646315,-1.3887236831886507,2,65
-1.9554937686097293,-2.69360629332331,2,66
-0.3473281532000976,-2.5928990295805927,2,67
0.20371212038707148,0.01962134955865905,2,68
-0.24831914047612996,-2.7561761005109537,2,69
1.179879985077379,-0.9003427659028095,2,70
-1.0771892529207665,-1.8267011799752528,2,71
