SampleId,LD1,LD2,Class
0,-4.700244008506271,1.9791383470464559,1
1,-4.301958109390891,1.1704128584841837,1
2,-3.420719519929979,1.4291013882226484,1
3,-4.2057536641398725,4.002871483450439,1
4,-1.5099816767285366,0.45122389818769926,1
5,-4.518689341055186,3.213137562777067,1
6,-4.52737794330599,3.2691217912511115,1
7,-4.148347810825575,3.1041176529261434,1
8,-3.860828761572694,1.9533826291204732,1
9,-3.3666244446203897,1.678643268990183,1
10,-4.805879067411838,2.2353627137254475,1
11,-3.4280764581115792,2.1751093932746604,1
12,-3.6661024584838433,2.2624896065440443,1
13,-5.588246349303709,2.054787732045999,1
14,-5.501314488366544,3.6130486523636587,1
15,-3.1847518929455823,2.8895252843532506,1
16,-3.289369883671369,2.7658426597432433,1
17,-2.998092617279583,1.4251113222091523,1
18,-5.246403717600696,3.7098265525921343,1
19,-3.1365310649546707,1.976899221711179,1
20,-3.577477910104203,0.5624599046252606,1
21,-1.690771346137734,0.9134213628356268,1
22,-4.835150326063505,0.9147628011970904,1
23,-3.0958896050434626,0.6173588844335006,1
24,-3.3216471633199434,0.2984773444737518,1
25,-2.1448222254893796,0.1636924671472987,1
26,-3.9824284979566222,2.1751567948432196,1
27,-2.6859143150114257,1.2185092379457432,1
28,-3.563094636414845,1.038176510789257,1
29,-3.173015732330995,1.3778962445635934,1
30,-2.996267968354552,1.3241989606462958,1
31,-3.5686624444246697,2.340654778721509,1
32,-3.385063831812299,0.20123425982882928,1
33,-3.52753750373268,1.7159273889409887,1
34,-2.8519085165789577,1.4707077126681085,1
35,-2.794119959372562,0.23793093003101073,1
36,-2.758085110192895,1.5697042084392212,1
37,-2.177344772289112,1.0103645533524224,1
38,-3.029263824403046,-0.2350958280680374,1
39,-3.271052282769352,2.60404590278156,1
40,-2.9206553279711964,0.2552334287367874,1
41,-2.2372106205727595,0.9194611639570037,1
42,-4.699725682958166,2.5607533924101533,1
43,-1.2303613325699299,0.42259515051997143,1
44,-2.5820390406563134,-0.3502919477152606,1
45,-2.5831204917986845,2.8768657233711767,1
46,-3.888878893039409,2.051604078476491,1
47,-3.4497535616869266,0.951839171350666,1
48,-2.342233314692645,1.4325894990980814,1
49,-3.5206259598711753,2.08155356473248,1
50,-3.218409120802124,0.8791286960779696,1
51,-4.382148964925033,2.1647157277003592,1
52,-4.3631172713469475,2.2718292846052712,1
53,-3.5191729277544264,3.007373725383153,1
54,-3.122774752142251,1.5935666945729807,1
55,-1.8024053953210322,1.3300615571660386,1
56,-2.873787538084908,1.7298994247654849,1
