LD1,Class,SampleId
-4.700244008506271,1,0
-4.301958109390891,1,1
-3.420719519929979,1,2
-4.2057536641398725,1,3
-1.5099816767285366,1,4
-4.518689341055186,1,5
-4.52737794330599,1,6
-4.148347810825575,1,7
-3.860828761572694,1,8
-3.3666244446203897,1,9
-4.805879067411838,1,10
-3.4280764581115792,1,11
-3.6661024584838433,1,12
-5.588246349303709,1,13
-5.501314488366544,1,14
-3.1847518929455823,1,15
-3.289369883671369,1,16
-2.998092617279583,1,17
-5.246403717600696,1,18
-3.1365310649546707,1,19
-3.577477910104203,1,20
-1.690771346137734,1,21
-4.835150326063505,1,22
-3.0958896050434626,1,23
-3.3216471633199434,1,24
-2.1448222254893796,1,25
-3.9824284979566222,1,26
-2.6859143150114257,1,27
-3.563094636414845,1,28
-3.173015732330995,1,29
-2.996267968354552,1,30
-3.5686624444246697,1,31
-3.385063831812299,1,32
-3.52753750373268,1,33
-2.8519085165789577,1,34
-2.794119959372562,1,35
-2.758085110192895,1,36
-2.177344772289112,1,37
-3.029263824403046,1,38
-3.271052282769352,1,39
-2.9206553279711964,1,40
-2.2372106205727595,1,41
-4.699725682958166,1,42
-1.2303613325699299,1,43
-2.5820390406563134,1,44
-2.5831204917986845,1,45
-3.888878893039409,1,46
-3.4497535616869266,1,47
-2.342233314692645,1,48
-3.5206259598711753,1,49
-3.218409120802124,1,50
-4.382148964925033,1,51
-4.3631172713469475,1,52
-3.5191729277544264,1,53
-3.122774752142251,1,54
-1.8024053953210322,1,55
-2.873787538084908,1,56
-3.616905179739486,1,57
-3.738685508455018,1,58
1.586187491997981,2,59
0.7996721574038554,2,60
2.3801544558547882,2,61
-0.45917725812412624,2,62
-0.5072688503830762,2,63
0.3939835860764624,2,64
-0.9225661578646315,2,65
-1.9554937686097293,2,66
-0.3473281532000976,2,67
0.20371212038707148,2,68
-0.24831914047612996,2,69
1.179879985077379,2,70
-1.0771892529207665,2,71
0.6410017923571976,2,72
-1.7468442121843504,2,73
-0.3472111694387458,2,74
1.1427422170955663,2,75
0.1866588235927355,2,76
0.900525003593885,2,77
-0.7070955104577072,2,78
-0.5956283253580414,2,79
-0.5576181808515666,2,80
-1.8043041679152774,2,81
0.23077079227111516,2,82
2.034827107005217,2,83
-0.6211302120925682,2,84
-1.0337274208228235,2,85
0.7659878054453465,2,86
0.3504256778363727,2,87
0.15324508352925184,2,88
-0.14962842129287954,2,89
0.48079503920265265,2,90
1.3968901589289793,2,91
0.9197233098174523,2,92
-0.5910293741397068,2,93
0.494113855038939,2,94
-1.6261442583705958,2,95
2.000445622246153,2,96
-1.0053481823276935,2,97
-2.07121314485339,2,98
-1.6381588976214498,2,99
-1.0589434001439548,2,100
0.025945492133302682,2,101
-0.2188740746446474,2,102
1.364376404046118,2,103
-1.1290124486869026,2,104
-0.2126309355204554,2,105
-0.7794688373613158,2,106
0.6154673198298126,2,107
0.2255019223350954,2,108
-2.0386985129539497,2,109
0.7927471628060467,2,110
0.302295454208225,2,111
-0.5066488199606652,2,112
0.9983739733598888,2,113
-0.21954922229244134,2,114
-0.3713151655837058,2,115
0.05545894068023355,2,116
-0.09137874364459421,2,117
1.7975525226174036,2,118
-0.17405008593005775,2,119
-1.178702808623851,2,120
-3.210543895540148,2,121
0.6260520153107799,2,122
0.03366612671444944,2,123
-0.6993007967569448,2,124
-0.7206107942314506,2,125
-0.5193351242870727,2,126
1.1703004464934137,2,127
0.10824791006832672,2,128
1.1231978315082556,2,129
2.246324190262471,3,130
3.285277547967327,3,131
4.072364406441066,3,132
3.8669123459249652,3,133
3.450883334974753,3,134
3.7158389927043154,3,135
3.922205101847164,3,136
4.851610197603335,3,137
3.5499338937336526,3,138
3.7688917358958562,3,139
2.6694224984316954,3,140
2.324914922416463,3,141
3.177128826604768,3,142
2.889644183918621,3,143
3.7832556216585407,3,144
3.044113241293266,3,145
4.706970170576555,3,146
4.850213933324681,3,147
4.983591843118734,3,148
4.869682926938923,3,149
4.598691898095439,3,150
5.674478836997416,3,151
5.329861231487729,3,152
5.034010305771575,3,153
4.520800865084121,3,154
5.09783710153124,3,155
5.043682767604585,3,156
4.869808293588455,3,157
5.613165581496778,3,158
5.670467365588649,3,159
5.374135128512059,3,160
3.099753773488891,3,161
3.3588813726701416,3,162
3.04007194055343,3,163
4.948613027971824,3,164
4.54504458482222,3,165
5.272558437670179,3,166
5.130161168186947,3,167
4.304680824819753,3,168
5.083367824767962,3,169
4.067435709944158,3,170
5.742129609500764,3,171
4.482051400461813,3,172
4.29150757881199,3,173
4.503296234241532,3,174
5.047470327731623,3,175
4.27615504775291,3,176
5.538086098201847,3,177
